Judge_Model,Metric,Effect,RAF_NoCritic (N/Mean),RAF_Critic (N/Mean),AVL_NoCritic (N/Mean),AVL_Critic (N/Mean),Interaction_Delta,Interaction_Direction,Mean_Diff,CI95,Cohen_d,Test_Used,SW_p_A,SW_p_B,Statistic,p_raw,Conclusion
qwen3:14b-fp16,RE,Main Effect A (Curve: RAF vs AVL),54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,5832.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,RE,Main Effect B (Critic: No vs With),54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,5832.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,RE,Simple Effect: Critic @ RAF,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,1458.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,RE,Simple Effect: Critic @ AVL,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,1458.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,RE,Simple Effect: Curve @ No_Critic,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,1458.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,RE,Simple Effect: Curve @ With_Critic,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,1458.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,CH,Main Effect A (Curve: RAF vs AVL),54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,5832.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,CH,Main Effect B (Critic: No vs With),54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,5832.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,CH,Simple Effect: Critic @ RAF,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,1458.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,CH,Simple Effect: Critic @ AVL,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,1458.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,CH,Simple Effect: Curve @ No_Critic,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,1458.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,CH,Simple Effect: Curve @ With_Critic,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,1458.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,EM,Main Effect A (Curve: RAF vs AVL),54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,5832.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,EM,Main Effect B (Critic: No vs With),54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,5832.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,EM,Simple Effect: Critic @ RAF,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,1458.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,EM,Simple Effect: Critic @ AVL,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,1458.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,EM,Simple Effect: Curve @ No_Critic,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,1458.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,EM,Simple Effect: Curve @ With_Critic,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,54.0 / 5.0,0.0,Equal gain,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,1458.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,SU,Main Effect A (Curve: RAF vs AVL),54.0 / 3.1481,54.0 / 3.0926,54.0 / 3.1605,54.0 / 3.1111,-0.0061,AVL benefits more from Critic,-0.0154,"[-0.1123, 0.0814]",-0.0427,Mann-Whitney U,0.0,0.0,5732.0,0.7251 nan,A < B (nan)
qwen3:14b-fp16,SU,Main Effect B (Critic: No vs With),54.0 / 3.1481,54.0 / 3.0926,54.0 / 3.1605,54.0 / 3.1111,-0.0061,AVL benefits more from Critic,0.0525,"[-0.0441, 0.1491]",0.1457,Mann-Whitney U,0.0,0.0,6147.0,0.2663 nan,A > B (nan)
qwen3:14b-fp16,SU,Simple Effect: Critic @ RAF,54.0 / 3.1481,54.0 / 3.0926,54.0 / 3.1605,54.0 / 3.1111,-0.0061,AVL benefits more from Critic,0.0556,"[-0.0799, 0.1910]",0.1565,Mann-Whitney U,0.0,0.0,1535.0,0.4330 nan,A > B (nan)
qwen3:14b-fp16,SU,Simple Effect: Critic @ AVL,54.0 / 3.1481,54.0 / 3.0926,54.0 / 3.1605,54.0 / 3.1111,-0.0061,AVL benefits more from Critic,0.0494,"[-0.0913, 0.1901]",0.134,Mann-Whitney U,0.0,0.0,1539.0,0.4337 nan,A > B (nan)
qwen3:14b-fp16,SU,Simple Effect: Curve @ No_Critic,54.0 / 3.1481,54.0 / 3.0926,54.0 / 3.1605,54.0 / 3.1111,-0.0061,AVL benefits more from Critic,-0.0123,"[-0.1600, 0.1353]",-0.0319,Mann-Whitney U,0.0,0.0,1431.0,0.8053 nan,A < B (nan)
qwen3:14b-fp16,SU,Simple Effect: Curve @ With_Critic,54.0 / 3.1481,54.0 / 3.0926,54.0 / 3.1605,54.0 / 3.1111,-0.0061,AVL benefits more from Critic,-0.0185,"[-0.1462, 0.1092]",-0.0553,Mann-Whitney U,0.0,0.0,1434.0,0.7979 nan,A < B (nan)
qwen3:14b-fp16,EG,Main Effect A (Curve: RAF vs AVL),54.0 / 5.0,54.0 / 5.0,54.0 / 4.9815,54.0 / 5.0,-0.0185,AVL benefits more from Critic,0.0093,"[-0.0091, 0.0276]",0.1361,Mann-Whitney U,-,0.0,5886.0,0.3218 nan,A > B (nan)
qwen3:14b-fp16,EG,Main Effect B (Critic: No vs With),54.0 / 5.0,54.0 / 5.0,54.0 / 4.9815,54.0 / 5.0,-0.0185,AVL benefits more from Critic,-0.0093,"[-0.0276, 0.0091]",-0.1361,Mann-Whitney U,0.0,-,5778.0,0.3218 nan,A < B (nan)
qwen3:14b-fp16,EG,Simple Effect: Critic @ RAF,54.0 / 5.0,54.0 / 5.0,54.0 / 4.9815,54.0 / 5.0,-0.0185,AVL benefits more from Critic,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,1458.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,EG,Simple Effect: Critic @ AVL,54.0 / 5.0,54.0 / 5.0,54.0 / 4.9815,54.0 / 5.0,-0.0185,AVL benefits more from Critic,-0.0185,"[-0.0557, 0.0186]",-0.1925,Mann-Whitney U,0.0,-,1431.0,0.3264 nan,A < B (nan)
qwen3:14b-fp16,EG,Simple Effect: Curve @ No_Critic,54.0 / 5.0,54.0 / 5.0,54.0 / 4.9815,54.0 / 5.0,-0.0185,AVL benefits more from Critic,0.0185,"[-0.0186, 0.0557]",0.1925,Mann-Whitney U,-,0.0,1485.0,0.3264 nan,A > B (nan)
qwen3:14b-fp16,EG,Simple Effect: Curve @ With_Critic,54.0 / 5.0,54.0 / 5.0,54.0 / 4.9815,54.0 / 5.0,-0.0185,AVL benefits more from Critic,0.0,"[0.0000, 0.0000]",0.0,Mann-Whitney U,-,-,1458.0,1.0000 nan,A = B (nan)
qwen3:14b-fp16,CX,Main Effect A (Curve: RAF vs AVL),54.0 / 4.1296,54.0 / 4.1852,54.0 / 4.1049,54.0 / 4.1111,0.0494,RAF benefits more from Critic,0.0494,"[-0.0563, 0.1550]",0.1254,Mann-Whitney U,0.0,0.0,6154.0,0.2895 nan,A > B (nan)
qwen3:14b-fp16,CX,Main Effect B (Critic: No vs With),54.0 / 4.1296,54.0 / 4.1852,54.0 / 4.1049,54.0 / 4.1111,0.0494,RAF benefits more from Critic,-0.0309,"[-0.1366, 0.0749]",-0.0783,Mann-Whitney U,0.0,0.0,5642.5,0.5335 nan,A < B (nan)
qwen3:14b-fp16,CX,Simple Effect: Critic @ RAF,54.0 / 4.1296,54.0 / 4.1852,54.0 / 4.1049,54.0 / 4.1111,0.0494,RAF benefits more from Critic,-0.0556,"[-0.2223, 0.1112]",-0.1271,Mann-Whitney U,0.0,0.0,1383.5,0.5228 nan,A < B (nan)
qwen3:14b-fp16,CX,Simple Effect: Critic @ AVL,54.0 / 4.1296,54.0 / 4.1852,54.0 / 4.1049,54.0 / 4.1111,0.0494,RAF benefits more from Critic,-0.0062,"[-0.1391, 0.1267]",-0.0177,Mann-Whitney U,0.0,0.0,1437.0,0.8337 nan,A < B (nan)
qwen3:14b-fp16,CX,Simple Effect: Curve @ No_Critic,54.0 / 4.1296,54.0 / 4.1852,54.0 / 4.1049,54.0 / 4.1111,0.0494,RAF benefits more from Critic,0.0247,"[-0.1309, 0.1802]",0.0606,Mann-Whitney U,0.0,0.0,1509.0,0.6458 nan,A > B (nan)
qwen3:14b-fp16,CX,Simple Effect: Curve @ With_Critic,54.0 / 4.1296,54.0 / 4.1852,54.0 / 4.1049,54.0 / 4.1111,0.0494,RAF benefits more from Critic,0.0741,"[-0.0719, 0.2201]",0.1938,Mann-Whitney U,0.0,0.0,1569.0,0.2933 nan,A > B (nan)
qwen3:14b-fp16,OV,Main Effect A (Curve: RAF vs AVL),54.0 / 4.5463,54.0 / 4.5463,54.0 / 4.5412,54.0 / 4.537,0.0042,RAF benefits more from Critic,0.0072,"[-0.0150, 0.0294]",0.0869,Mann-Whitney U,0.0,0.0,5922.0,0.7984 nan,A > B (nan)
qwen3:14b-fp16,OV,Main Effect B (Critic: No vs With),54.0 / 4.5463,54.0 / 4.5463,54.0 / 4.5412,54.0 / 4.537,0.0042,RAF benefits more from Critic,0.0021,"[-0.0202, 0.0243]",0.0249,Mann-Whitney U,0.0,0.0,6058.5,0.5189 nan,A > B (nan)
qwen3:14b-fp16,OV,Simple Effect: Critic @ RAF,54.0 / 4.5463,54.0 / 4.5463,54.0 / 4.5412,54.0 / 4.537,0.0042,RAF benefits more from Critic,0.0,"[-0.0359, 0.0359]",0.0001,Mann-Whitney U,0.0,0.0,1521.0,0.6236 nan,A = B (nan)
qwen3:14b-fp16,OV,Simple Effect: Critic @ AVL,54.0 / 4.5463,54.0 / 4.5463,54.0 / 4.5412,54.0 / 4.537,0.0042,RAF benefits more from Critic,0.0041,"[-0.0229, 0.0312]",0.0581,Mann-Whitney U,0.0,0.0,1506.0,0.6939 nan,A > B (nan)
qwen3:14b-fp16,OV,Simple Effect: Curve @ No_Critic,54.0 / 4.5463,54.0 / 4.5463,54.0 / 4.5412,54.0 / 4.537,0.0042,RAF benefits more from Critic,0.0051,"[-0.0229, 0.0332]",0.0699,Mann-Whitney U,0.0,0.0,1492.5,0.7859 nan,A > B (nan)
qwen3:14b-fp16,OV,Simple Effect: Curve @ With_Critic,54.0 / 4.5463,54.0 / 4.5463,54.0 / 4.5412,54.0 / 4.537,0.0042,RAF benefits more from Critic,0.0093,"[-0.0259, 0.0444]",0.1008,Mann-Whitney U,0.0,0.0,1467.0,0.9449 nan,A > B (nan)
""
"--- FACTORIAL 2x2 NOTES ---"
"Factor A (Curve): RAF = Rise-and-Fall curve; AVL = A-V-A levels curve."
"Factor B (Critic): No_Critic = without critic feedback; With_Critic = with critic feedback."
"Main Effects: marginal means collapsing across the other factor."
"Simple Effects: pairwise comparison within one level of the other factor."
"Interaction Delta = Critic gain in RAF minus Critic gain in AVL."
"All pairwise comparisons are pre-planned; no correction applied."
"Test selected per pair: Welch's t (both groups normal via Shapiro-Wilk) or Mann-Whitney U."
"(*): p < 0.05, (**): p < 0.01, (***): p < 0.001  |  (ns): p >= 0.05"
